source,translated,context
"As marketing manager, AuraCRM lets you run sophisticated campaigns and prove their impact on revenue:",كمسؤول تسويق، يتيح لك AuraCRM تشغيل حملات متطورة وإثبات تأثيرها على الإيرادات:,
"As sales manager, AuraCRM gives you the tools to track every deal, coach your team, and forecast revenue with confidence:",كمدير مبيعات، يمنحك AuraCRM الأدوات لتتبع كل صفقة، تدريب فريقك، وتوقع الإيرادات بثقة:,
Asia/Dubai,Asia/Dubai,
Asia/Riyadh,Asia/Riyadh,
Asset Type,نوع الأصل,
Assign Agent,تعيين وكيل,
Assign To,تعيين إلى,
Assigned,مُعيّن,
Assigned Agent,الوكيل المعيّن,
Assigned Agents,الوكلاء المعيّنون,
Assigned To,مُعيّن إلى,
Assignment Changed,تم تغيير التعيين,
At least one agent must be assigned before activating,يجب تعيين وكيل واحد على الأقل قبل التفعيل,
At least one sequence step is required,مطلوب خطوة تسلسل واحدة على الأقل,
Atomic Capabilities,صلاحيات ذرية,
Attempts,المحاولات,
Attributed Revenue,الإيرادات المُسندة,
Attribution,الإسناد,
Attribution Weight,وزن الإسناد,
Audience,الجمهور,
Audience Countries,دول الجمهور,
Audience Demographics,ديموغرافيا الجمهور,
Audience Segment has no filters,شريحة الجمهور بدون فلاتر,
Audience Segment has no filters configured,شريحة الجمهور بدون فلاتر معدّة,
Audience Segment {0} does not exist,شريحة الجمهور {0} غير موجودة,
AuraCRM Analytics,تحليلات AuraCRM,
AuraCRM Command Center,مركز قيادة AuraCRM,
AuraCRM Dashboard,لوحة معلومات AuraCRM,
AuraCRM Pipeline,مسار AuraCRM,
AuraCRM Team,فريق AuraCRM,
"AuraCRM combines lead management, sales pipeline, team performance, and marketing automation — all powered by interactive visual graphs.",يجمع AuraCRM إدارة العملاء المحتملين ومسار المبيعات وأداء الفريق وأتمتة التسويق — الكل مدعوم برسوم بيانية تفاعلية.,
AuraCRM declares its capabilities in hooks.py — CAPS auto-discovers and enforces them. No code changes needed.,يعلن AuraCRM عن صلاحياته في hooks.py — يكتشفها CAPS تلقائياً ويطبقها. لا حاجة لتغيير الكود.,
"AuraCRM delivers enterprise-grade CRM capabilities with full ERPNext integration — at zero licensing cost, fully open source.",يقدم AuraCRM إمكانيات CRM بمستوى المؤسسات مع تكامل كامل مع ERPNext — بدون تكلفة ترخيص، مفتوح المصدر بالكامل.,
AuraCRM gives you complete visibility into team performance with actionable insights:,يمنحك AuraCRM رؤية كاملة لأداء الفريق مع رؤى قابلة للتنفيذ:,
"AuraCRM includes industry presets that configure pipelines, fields, scoring rules, and automation for your specific business domain.",يتضمن AuraCRM إعدادات مسبقة للصناعة تضبط المسارات والحقول وقواعد التسجيل والأتمتة لمجال عملك المحدد.,
"AuraCRM integrates natively with the Frappe/ERPNext ecosystem — no middleware, no external dependencies.",يتكامل AuraCRM أصلياً مع منظومة Frappe/ERPNext — بدون وسيط، بدون اعتماديات خارجية.,
"AuraCRM integrates with: ERPNext, Arrowz VoIP, CAPS, frappe_visual, WhatsApp, HRMS, and Frappe Core.",يتكامل AuraCRM مع: ERPNext، Arrowz VoIP، CAPS، frappe_visual، واتساب، HRMS، و Frappe Core.,
AuraCRM — Command Center,AuraCRM — مركز القيادة,
Auto Dialer (VoIP),الاتصال التلقائي (VoIP),
Auto Sold-Proof Posts,منشورات إثبات البيع التلقائية,
Auto-Assign on Lead Creation,التعيين التلقائي عند إنشاء العميل المحتمل,
Auto-Assignment,التعيين التلقائي,
Auto-Classification Rules,قواعد التصنيف التلقائي,
Auto-Classify,تصنيف تلقائي,
Auto-DM,رسالة مباشرة تلقائية,
Auto-Dialer,المُتصل الآلي,
Auto-Dialer Enabled,المُتصل الآلي مفعّل,
Auto-Flag Suspicious Activity,تأشير النشاط المشبوه تلقائياً,
Auto-Generate Deal Rooms,إنشاء غرف الصفقات تلقائياً,
Auto-Generate Review Responses,إنشاء ردود التقييمات تلقائياً,
"Auto-assign leads based on territory, skill, workload, or round-robin — no lead left behind",توزيع تلقائي للعملاء المحتملين حسب المنطقة أو المهارة أو الحمل أو بالتناوب — لا يضيع أي عميل,
Auto-populate entries from this segment,ملء الإدخالات تلقائياً من هذه الشريحة,
"Automated SLA monitoring with countdown timers, escalation triggers, and breach alerts",مراقبة آلية لاتفاقيات الخدمة مع مؤقتات العد التنازلي ومشغلات التصعيد وتنبيهات الخرق,
Automatic CSAT and NPS surveys after ticket resolution with trend analytics,استبيانات CSAT و NPS تلقائية بعد حل التذكرة مع تحليلات الاتجاهات,
"Automatic escalation based on priority, SLA breach, sentiment analysis, or VIP status",تصعيد تلقائي حسب الأولوية وخرق الاتفاقية وتحليل المشاعر وحالة VIP,
Automatic satisfaction surveys sent after ticket resolution via email or WhatsApp,استبيانات رضا تلقائية ترسل بعد حل التذكرة عبر البريد أو واتساب,
Automatically pause point accrual and notify admin,إيقاف تراكم النقاط تلقائياً وإخطار المسؤول,
Automatically post 'Just Sold' content on opportunity win,نشر محتوى 'تم البيع' تلقائياً عند الفوز بالفرصة,
Automatically tag matching contacts with this classification,توسيم جهات الاتصال المطابقة تلقائياً بهذا التصنيف,
Automation,أتمتة,
Automation & Sequences,الأتمتة والتسلسلات,
Automation Builder,منشئ الأتمتة,
Automation Enabled,الأتمتة مفعّلة,
Automation Rules,قواعد الأتمتة,
Automation rules evaluated,تم تقييم قواعد الأتمتة,
Available Variables,المتغيرات المتاحة,
Avg Conversion %,متوسط نسبة التحويل,
Avg Days in Pipeline,متوسط الأيام في المسار,
Avg Days in Stage,متوسط الأيام في المرحلة,
Avg Lead Score,متوسط نقاط العميل,
Avg Likes,متوسط الإعجابات,
Avg Response (hrs),متوسط الاستجابة (ساعات),
Avg Response Time (min),متوسط وقت الاستجابة (دقائق),
Avg Score,متوسط النقاط,
Avg Value,متوسط القيمة,
Avg Views,متوسط المشاهدات,
BREACHED,مُنتهَك,
Badge Image,صورة الشارة,
Badge Name,اسم الشارة,
Badge Type,نوع الشارة,
Badges,الشارات,
Badges & Achievements,الشارات والإنجازات,
Base Points,النقاط الأساسية,
Base Points cannot be negative,النقاط الأساسية لا يمكن أن تكون سالبة,
Basic Reports,التقارير الأساسية,
Bayut,بيوت,
Best Day,أفضل يوم,
Best Hour End,نهاية أفضل ساعة,
Best Hour Start,بداية أفضل ساعة,
Blacklisted,محظور,
Block,حظر,
Blog Article,مقال مدونة,
Bonus Multiplier Condition,شرط مضاعف المكافأة,
Bonus Points on Earn,نقاط مكافأة عند الكسب,
Bot Name,اسم الروبوت,
Both,كلاهما,
Bounced,مرتد,
Brand,العلامة التجارية,
Brand Name,اسم العلامة التجارية,
Brand Safety Score,نقاط أمان العلامة التجارية,
Brand Voice Description,وصف صوت العلامة التجارية,
Breach Time,وقت الانتهاك,
Brief,ملخص,
Broadcast Name,اسم البث,
Broadcasts,البثوث,
Broker Detection Reason,سبب كشف الوسيط,
Bronze,برونزي,
Budget Adjustment History,سجل تعديلات الميزانية,
Budget History,سجل الميزانية,
Build multi-step automated campaigns that nurture leads from first touch to sales-ready:,ابنِ حملات آلية متعددة الخطوات ترعى العملاء المحتملين من اللمسة الأولى حتى الجاهزية للبيع:,
Build your first campaign sequence,بناء تسلسل حملتك الأول,
Built-in Preset,قالب مدمج,
Bulk Auto-Classify,تصنيف تلقائي جماعي,
Business,تجاري,
Busy,مشغول,
Button Menu,قائمة الأزرار,
C-Level,مستوى تنفيذي,
CAPS Capability Templates,قوالب قدرات CAPS,
CONVERSION,التحويل,
CONVERSION RATE,معدل التحويل,
CONVERTED,محوّل,
CRM Admin,مسؤول CRM,
CRM Admin access required,مطلوب صلاحية مسؤول CRM,
CRM Core,نواة CRM,
CRM Module Map,خريطة وحدات CRM,
CRM Onboarding,تعريف CRM,
CSAT Survey,استبيان رضا العملاء,
CSAT Surveys,استبيانات CSAT,
Calculate true acquisition costs by factoring in campaign spend and team effort,احسب تكاليف الاستحواذ الحقيقية باحتساب إنفاق الحملة وجهد الفريق,
Calendar Entry,إدخال التقويم,
Calendarific API Key,مفتاح API Calendarific,
Call,مكالمة,
Call Context Rules,قواعد سياق المكالمة,
Call Details,تفاصيل المكالمة,
Call Duration (sec),مدة المكالمة (ثانية),
Call Guidance,إرشادات المكالمة,
Call Log,سجل المكالمات,
Call Script,سكربت المكالمة,
Call Script Template,قالب سكربت المكالمة,
Call Type,نوع المكالمة,
Call Window End,نهاية نافذة الاتصال,
Call Window End must be after Call Window Start,نهاية نافذة الاتصال يجب أن تكون بعد بدايتها,
Call Window Start,بداية نافذة الاتصال,
Callback Requested,تم طلب إعادة الاتصال,
Calls Made,المكالمات المنفذة,
Campaign,حملة,
Campaign Brief,ملخص الحملة,
Campaign Name,اسم الحملة,
Campaign Performance,أداء الحملة,
Campaign ROI Report,تقرير عائد الحملة,
Campaign can only be started from Draft or Paused status,يمكن بدء الحملة فقط من حالة المسودة أو المتوقف مؤقتاً,
Campaign started,بدأت الحملة,
Campaign {0} does not exist,الحملة {0} غير موجودة,
Campaign → Lead → AI Scoring → Opportunity → Deal Room → Customer → Service Ticket → CSAT,الحملة → العميل المحتمل → التسجيل بالذكاء الاصطناعي → الفرصة → غرفة الصفقة → العميل → تذكرة الخدمة → الرضا,
Campaigns,الحملات,
Campaigns & Marketing,الحملات والتسويق,
"Campaigns, sequences, content calendar, and lead generation",الحملات، التسلسلات، تقويم المحتوى، وتوليد العملاء المحتملين,
Cancelled,ملغي,
Cannot activate sequence without steps,لا يمكن تفعيل التسلسل بدون خطوات,
"Cap for streak multiplier (e.g., 3.0 = max 3× points)",حد أقصى لمضاعف الأيام المتتالية (مثال: 3.0 = أقصى 3× نقاط),
Carousel,كاروسيل,
Carousel Copy,نسخة الكاروسيل,
Casual,عفوي,
Category,الفئة,
Celebrations & Animations,الاحتفالات والرسوم المتحركة,
Challenge,التحدي,
Challenge Complete:,التحدي مكتمل:,
Challenge Name,اسم التحدي,
Challenge has no participants. Add agents to the participants table.,التحدي بدون مشاركين. أضف وكلاء إلى جدول المشاركين.,
Challenges & Competitions,التحديات والمسابقات,
Change Segment,تغيير الشريحة,
Channel,القناة,
Chatbot Flow,تدفق الروبوت,
Chatbots,الروبوتات,
Check Condition,فحص الشرط,
Choose Another Role,اختر دوراً آخر,
Choose Your Role,اختر دورك,
Choose your role to see a personalized walkthrough of the features most relevant to you.,اختر دورك لمشاهدة جولة مخصصة للميزات الأكثر صلة بك.,
Churn Prediction,تنبؤ التسرب,
Classification,تصنيف,
Classification Name,اسم التصنيف,
Classifications,التصنيفات,
Classifying...,جارٍ التصنيف...,
Clicks,النقرات,
Close,إغلاق,
Closing,إغلاق,
Cold (0-29),بارد جداً (0-29),
"Collaborative spaces for complex deals with documents, tasks, and stakeholder tracking",مساحات تعاونية للصفقات المعقدة مع المستندات والمهام وتتبع أصحاب المصلحة,
Color,اللون,
"Comma-separated list: Facebook,Instagram,Twitter,LinkedIn","قائمة مفصولة بفواصل: Facebook,Instagram,Twitter,LinkedIn",
"Comma-separated: residential, commercial, luxury, arabic, english",مفصولة بفواصل: سكني، تجاري، فاخر، عربي، إنجليزي,
Command Center,مركز القيادة,
Comment,تعليق,
Commenter Followers,متابعو المعلّق,
Commenter Info,معلومات المعلّق,
Commenter Name,اسم المعلّق,
Commenter Profile Url,رابط ملف المعلّق,
Commenter Username,اسم مستخدم المعلّق,
Communication,اتصال,
Communication History,سجل الاتصالات,
Communication Templates,قوالب الاتصال,
Communications,الاتصالات,
Company,الشركة,
Company Label,تسمية الشركة,
Company Size,حجم الشركة,
Company-Wide,على مستوى الشركة,
Compare channel performance!,قارن أداء القنوات!,
Comparison Value,قيمة المقارنة,
Competitive Intel,الاستخبارات التنافسية,
Competitor,منافس,
Competitor Complaint,شكوى منافس,
Competitor Name,اسم المنافس,
Competitor Tracking,تتبع المنافسين,
Competitors,المنافسون,
Complete,إكمال,
"Complete business visibility with real-time dashboards, team performance metrics, and strategic analytics.",رؤية أعمال كاملة مع لوحات معلومات حية ومقاييس أداء الفريق وتحليلات استراتيجية.,
"Complete interaction history across calls, emails, WhatsApp, and meetings in one timeline",سجل تفاعلات كامل عبر المكالمات والبريد والواتساب والاجتماعات في جدول زمني واحد,
Completed,مكتمل,
Completed At,اكتمل في,
Completed!,مكتمل!,
Completion Rate,معدل الإكمال,
Composite performance score 0-100,نقاط أداء مركبة 0-100,
Condition,الشرط,
Condition (Jinja),الشرط (Jinja),
Condition Field,حقل الشرط,
Condition Map,خريطة الشروط,
Condition Value,قيمة الشرط,
Conditions for automatically applying this classification,شروط تطبيق هذا التصنيف تلقائياً,
Confidence Score,نقاط الثقة,
Configuration,التكوين,
Configuration Data,بيانات التكوين,
Configure your AuraCRM settings,ضبط إعدادات AuraCRM,
Congratulations Message,رسالة التهنئة,
Connect every marketing dollar to revenue with full attribution tracking:,اربط كل ريال تسويقي بالإيرادات مع تتبع إسناد كامل:,
Consistency & Streaks,الاستمرارية والأيام المتتالية,
Contact,جهة اتصال,
Contact DocType,نوع مستند جهة الاتصال,
Contact Email,بريد جهة الاتصال,
Contact Information,معلومات الاتصال,
Contact Management,إدارة جهات الاتصال,
Contact Name,اسم جهة الاتصال,
Contact Phone,هاتف جهة الاتصال,
Contact Source,مصدر جهة الاتصال,
Contact is already enrolled in this sequence,جهة الاتصال مسجلة بالفعل في هذا التسلسل,
Contacted,تم التواصل,
Contacts,جهات الاتصال,
Content,المحتوى,
Content Assistant,مساعد المحتوى,
Content Body,محتوى النص,
Content Created,تم إنشاء المحتوى,
Content Piece,قطعة محتوى,
Content Template,قالب المحتوى,
Content Topic Suggestions,اقتراحات مواضيع المحتوى,
Content Type,نوع المحتوى,
Context Panel Configuration,تكوين لوحة السياق,
Context Rules,قواعد السياق,
Context Rules determine what agents see during calls. Higher priority wins.,قواعد السياق تحدد ما يراه الوكلاء أثناء المكالمات. الأولوية الأعلى تفوز.,
Contract Draft Url,رابط مسودة العقد,
"Control who can create campaigns, approve deals, export data, and manage settings",التحكم بمن يمكنه إنشاء حملات واعتماد صفقات وتصدير البيانات وإدارة الإعدادات,
Conv,التحويل,
Conv. %,نسبة التحويل,
Conv. Rate,معدل التحويل,
Conversations Count,عدد المحادثات,
Conversion %,نسبة التحويل,
Conversion Funnel,مسار التحويل,
Conversion Funnels,مسارات التحويل,
Conversion Rate,معدل التحويل,
"Conversion funnel, score heatmap, quality & SLA",مسار التحويل، خريطة حرارة النقاط، الجودة واتفاقيات الخدمة,
"Conversion rates, stage duration, win/loss analysis, and forecasting",معدلات التحويل ومدة المراحل وتحليل الفوز/الخسارة والتوقعات,
Conversions,التحويلات,
Conversions (MTD),التحويلات (منذ بداية الشهر),
Converted,محوّل,
Cool (30-59),بارد (30-59),
Cooldown (Minutes),فترة الانتظار (دقائق),
Cooldown cannot be negative,فترة الانتظار لا يمكن أن تكون سالبة,
Cost,التكلفة,
Cost (USD),التكلفة (دولار),
Cost per Lead / Deal,التكلفة لكل عميل محتمل / صفقة,
Cost/Lead,التكلفة/العميل,
Could not load,تعذر التحميل,
Could not load timeline,تعذر تحميل الجدول الزمني,
Count,العدد,
"Countdown timers show time to breach, auto-escalation to managers on violation",مؤقتات العد التنازلي تعرض الوقت للخرق والتصعيد التلقائي للمديرين عند المخالفة,
Counter-Ad Created,تم إنشاء إعلان مضاد,
Counter-Content Scheduled,تم جدولة محتوى مضاد,
Create Deal Room,إنشاء غرفة صفقة,
Create Lead,إنشاء عميل محتمل,
Create Task,إنشاء مهمة,
"Create challenges, set targets, and track leaderboards to motivate your team",أنشئ تحديات وحدد أهداف وتابع لوحات المتصدرين لتحفيز فريقك,
"Create dynamic segments based on behavior, demographics, and engagement scores",أنشئ شرائح ديناميكية حسب السلوك والديموغرافيا ونقاط التفاعل,
Create your first sequence,أنشئ تسلسلك الأول,
Created,تم الإنشاء,
Created At,أُنشئ في,
Created Leads Count,عدد العملاء المنشأين,
Created {0} entries from audience segment,تم إنشاء {0} إدخال من شريحة الجمهور,
Criteria,المعايير,
Criteria Type,نوع المعايير,
Cross-Team KPIs,مؤشرات أداء الفرق المتقاطعة,
"Cross-department performance comparisons with drill-down by agent, team, or territory",مقارنات أداء بين الأقسام مع التفصيل حسب الوكيل أو الفريق أو المنطقة,
Crypto Whale,حوت العملات الرقمية,
Crypto Whales,حيتان العملات الرقمية,
Cumulative points needed to reach this level,النقاط التراكمية المطلوبة للوصول لهذا المستوى,
Current Active Leads,العملاء النشطون الحاليون,
Current Daily Budget,الميزانية اليومية الحالية,
Current Market Price,سعر السوق الحالي,
Current Progress,التقدم الحالي,
Current Status,الحالة الحالية,
Current Step,الخطوة الحالية,
Currently applied industry preset,قالب الصناعة المطبق حالياً,
Custom,مخصص,
Custom Weights,أوزان مخصصة,
Customer Health,صحة العميل,
Customer Health Score,نقاط صحة العميل,
Customer Service,خدمة العملاء,
Customer Service — Satisfaction Tracking,خدمة العملاء — تتبع الرضا,
Customer Service — Support & Retention,خدمة العملاء — الدعم والاحتفاظ,
Customer Service — Support Hub,خدمة العملاء — مركز الدعم,
"Customer retention rates, churn risk indicators, lifetime value analysis, and NPS trends",معدلات الاحتفاظ بالعملاء ومؤشرات خطر التسرب وتحليل القيمة مدى الحياة واتجاهات NPS,
Customers,العملاء,
Customize labels per industry,تخصيص التسميات حسب الصناعة,
Customize your executive widgets!,خصص أدواتك التنفيذية!,
DM,DM,
DNC,لا تتصل,
Daily,يومي,
Daily Calls Target,هدف المكالمات اليومية,
Daily Cap,الحد اليومي,
Daily Cap cannot be negative,الحد اليومي لا يمكن أن يكون سالباً,
Daily Count,العدد اليومي,
Daily Emails Target,هدف الرسائل اليومية,
Daily Limit,الحد اليومي,
Daily Rebalancing,إعادة التوازن اليومية,
Daily Workload Rebalancing,إعادة توازن عبء العمل اليومي,
Dashboard,لوحة التحكم,
Data Driven,مبني على البيانات,
Data Source,مصدر البيانات,
Data Sources,مصادر البيانات,
Data-Driven Strategy,استراتيجية مبنية على البيانات,
Date,التاريخ,
Day Streak,أيام متتالية,
Day of Week,يوم الأسبوع,
Days,أيام,
Deal,صفقة,
Deal Close Date,تاريخ إغلاق الصفقة,
Deal Label,تسمية الصفقة,
Deal Room Opened,تم فتح غرفة الصفقة,
Deal Room Trigger Status,حالة تشغيل غرفة الصفقة,
Deal Room View,عرض غرفة الصفقة,
Deal Rooms & Resale,غرف الصفقات وإعادة البيع,
Deal moved to {0},تم نقل الصفقة إلى {0},
Deals above this value earn bonus points,الصفقات فوق هذه القيمة تكسب نقاط مكافأة,
Default Call Script,سكربت المكالمة الافتراضي,
Default Distribution Method,طريقة التوزيع الافتراضية,
Default KPIs,مؤشرات الأداء الافتراضية,
Default OSINT Segments,شرائح الاستخبارات الافتراضية,
Default Response Time (Minutes),وقت الاستجابة الافتراضي (دقائق),
Default SLA Policies,سياسات اتفاقية الخدمة الافتراضية,
Default Score Rules,قواعد النقاط الافتراضية,
Default points awarded per occurrence,النقاط الافتراضية الممنوحة لكل حدث,
Define SLA policies for your team,تحديد سياسات مستوى الخدمة لفريقك,
Delay (Days),التأخير (أيام),
Delay (Hours),التأخير (ساعات),
Delay Unit,وحدة التأخير,
Delay Value,قيمة التأخير,
Delete+Reply,حذف+رد,
Deliverables,المخرجات,
Delivered Count,عدد التسليمات,
Department Comparisons,مقارنات الأقسام,
Description,الوصف,
Description of what this level unlocks,وصف ما يفتحه هذا المستوى,
"Design multi-step flows with email, WhatsApp, SMS, delays, and conditional branches",صمم سير عمل متعدد الخطوات بالبريد والواتساب والرسائل والتأخير والتفرع الشرطي,
Details,التفاصيل,
Detected At,تم الكشف في,
Dialer,المُتصل,
Dialer Campaigns,حملات الاتصال,
Dialer Entries,إدخالات الاتصال,
Dialing,جارٍ الاتصال,
Diamond,ماسي,
Direction,الاتجاه,
Director,مدير,
Disc Guidance,إرشادات DISC,
Disc Profile,ملف DISC,
Discovered,تم الاكتشاف,
Discovery Source,مصدر الاكتشاف,
Display,العرض,
Display Name,اسم العرض,
Display Order,ترتيب العرض,
Display ↑↓ indicators for position changes,عرض مؤشرات ↑↓ لتغييرات الترتيب,
Disposition,التصرف,
Disqualification Reason,سبب عدم التأهيل,
Disqualified,غير مؤهل,
Distribution,التوزيع,
Distribution Agents,وكلاء التوزيع,
Distribution Configuration,تكوين التوزيع,
Distribution Method,طريقة التوزيع,
Distribution Rule,قاعدة التوزيع,
Distribution Statistics,إحصائيات التوزيع,
Do Not Call,لا تتصل,
DocType,نوع المستند,
Done,تم,
Draft,مسودة,
Drag your first deal!,اسحب صفقتك الأولى!,
Drag-and-Drop Pipeline,مسار بالسحب والإفلات,
"Drag-and-drop Kanban board with real-time deal values, stage duration, and bottleneck alerts",لوحة كانبان بالسحب والإفلات مع قيم الصفقات الحية ومدة المراحل وتنبيهات الاختناقات,
Drag-and-drop opportunity management,إدارة الفرص بالسحب والإفلات,
Dubizzle,دوبيزل,
Duplicate Blocked,تم حظر التكرار,
Duplicate Detection Enabled,كشف التكرار مفعّل,
Duplicate Rules,قواعد التكرار,
Duplicate Warning,تحذير تكرار,
Duplicate detected! This record matches: {0}. Saving is blocked by rule: {1},تم اكتشاف تكرار! هذا السجل يطابق: {0}. تم حظر الحفظ بواسطة القاعدة: {1},
Duplicate detection strategies,استراتيجيات كشف التكرار,
Duplicates,المكررات,
Duration,المدة,
Duration Seconds,المدة بالثواني,
Dynamic,ديناميكي,
"Dynamic segments based on behavior, demographics, engagement score, and custom fields",شرائح ديناميكية حسب السلوك والديموغرافيا ونقاط التفاعل والحقول المخصصة,
ERPNext Integration,تكامل ERPNext,
"Each filter must be [doctype, field, operator, value]. Got: {0}",كل فلتر يجب أن يكون [نوع المستند، الحقل، المعامل، القيمة]. تم الحصول على: {0},
Earning Criteria,معايير الكسب,
Education,التعليم,
Educational,تعليمي,
Einstein,Einstein,
Either name or values is required,الاسم أو القيم مطلوبة,
Email,البريد الإلكتروني,
Email Found,تم العثور على البريد,
Email Newsletter,نشرة بريدية,
Email Open,فتح بريد,
Email Opened,تم فتح البريد,
Email Template,قالب البريد الإلكتروني,
"Emoji (e.g. 🏆, 🔥, ⭐, 💎)",إيموجي (مثال: 🏆، 🔥، ⭐، 💎),
Emoji or icon class,إيموجي أو فئة أيقونة,
"Emoji or icon class (e.g. 📞, 🏆, ⭐)",إيموجي أو فئة أيقونة (مثال: 📞، 🏆، ⭐),
Empathetic,متعاطف,
Employee-linked agents,وكلاء مرتبطين بالموظفين,
Enable Appointment Booking,تفعيل حجز المواعيد,
Enable Compliance Fields,تفعيل حقول الامتثال,
Enable Daily Point Caps,تفعيل حدود النقاط اليومية,
Enable Event Cooldowns,تفعيل فترات انتظار الأحداث,
Enable Physical Location,تفعيل الموقع الجغرافي,
Enable Project Milestones,تفعيل معالم المشروع,
Enable Property Inventory,تفعيل مخزون العقارات,
Enable Rental Management,تفعيل إدارة الإيجارات,
Enable Subscription Products,تفعيل منتجات الاشتراك,
Enable auto-escalation!,فعّل التصعيد التلقائي!,
Enable auto-send after ticket close!,فعّل الإرسال التلقائي بعد إغلاق التذكرة!,
Enable/disable industry-specific features,تفعيل/تعطيل الميزات الخاصة بالصناعة,
Enabled,مفعّل,
End Date,تاريخ الانتهاء,
End Date must be after Start Date,تاريخ الانتهاء يجب أن يكون بعد تاريخ البدء,
End Time,وقت الانتهاء,
End Time must be after Start Time,وقت الانتهاء يجب أن يكون بعد وقت البدء,
Eng. Rate %,نسبة التفاعل %,
Engagement,التفاعل,
Engagement Rate,معدل التفاعل,
Engagements,التفاعلات,
English,الإنجليزية,
Enrichment,الإثراء,
Enrichment Engine,محرك الإثراء,
Enrichment Jobs,مهام الإثراء,
Enrichment Status,حالة الإثراء,
Enroll leads!,سجّل العملاء المحتملين!,
Enrolled At,تاريخ التسجيل,
Enrollment,التسجيل,
Enrollments,التسجيلات,
Entered At,تاريخ الدخول,
Enterprise,المؤسسات,
Entries,الإدخالات,
Error,خطأ,
Error Log,سجل الأخطاء,
Error Message,رسالة الخطأ,
Error loading context:,خطأ في تحميل السياق:,
Escalate To,التصعيد إلى,
Escalated,مُصعَّد,
Escalation,التصعيد,
Escalation Workflows,سير عمل التصعيد,
Europe/London,Europe/London,
Event Count,عدد الأحداث,
Event Key,مفتاح الحدث,
Event Type,نوع الحدث,
Events,الأحداث,
Exact,مطابقة تامة,
Exclude Keywords,استبعاد الكلمات المفتاحية,
Execution Log,سجل التنفيذ,
Executive Dashboard,لوحة المعلومات التنفيذية,
Executive Summary,الملخص التنفيذي,
"Executive dashboards, strategic insights, and cross-team analytics",لوحات المعلومات التنفيذية، الرؤى الاستراتيجية، وتحليلات الفرق المتقاطعة,
Exit Conditions,شروط الخروج,
Exited,خرج,
Expat,مغترب,
Expats,مغتربين,
Expired,منتهي الصلاحية,
Expiry Date,تاريخ الانتهاء,
Explore About Page,استكشاف صفحة عن التطبيق,
"Explore pipeline, campaign, and service analytics!",استكشف تحليلات المسار والحملات والخدمة!,
External Services,الخدمات الخارجية,
Extra points awarded when this badge is earned,نقاط إضافية تُمنح عند الحصول على هذه الشارة,
Facebook,فيسبوك,
Facebook Page,صفحة فيسبوك,
Facebook Page ID,معرف صفحة فيسبوك,
Facebook/Instagram Marketing API token,رمز API تسويق فيسبوك/إنستغرام,
Failed,فاشل,
Failed to load 360° view.,فشل تحميل عرض 360°.,
Failed to load command center,فشل تحميل مركز القيادة,
Failed to load gamification data,فشل تحميل بيانات الألعاب التحفيزية,
Failed to load manager data,فشل تحميل بيانات المدير,
Failed to load pipeline board,فشل تحميل لوحة المسار,
Failed to load quality data,فشل تحميل بيانات الجودة,
Failed to load team graph,فشل تحميل رسم الفريق البياني,
Failed to load workspace data,فشل تحميل بيانات مساحة العمل,
Fake Follower Score,نقاط المتابعين المزيفين,
Fallback Message,رسالة الاحتياط,
Family,عائلة,
Family Office,مكتب عائلي,
Feature,الميزة,
Feature Toggles,مفاتيح الميزات,
Feature not available in Free tier,الميزة غير متوفرة في الطبقة المجانية,
Fee,الأتعاب,
Field,الحقل,
Field Masking,إخفاء الحقول,
Field Name,اسم الحقل,
Field Visibility,رؤية الحقل,
"Field name on the reference document (e.g. grand_total, duration)","اسم الحقل في المستند المرجعي (مثال: grand_total, duration)",
Field to Check,الحقل للتحقق,
Field-Level Access (CAPS),التحكم على مستوى الحقل (CAPS),
"Fieldname to check for duplicates (e.g., email_id, phone, company_name)","اسم الحقل لفحص التكرار (مثال: email_id, phone, company_name)",
Filter JSON,JSON الفلتر,
Filter JSON must be a list of filter arrays,JSON الفلتر يجب أن يكون قائمة من مصفوفات الفلاتر,
Filters,الفلاتر,
Final Points,النقاط النهائية,
Final Response,الاستجابة النهائية,
Finance,التمويل,
Financial Data,البيانات المالية,
First Touch,أول تواصل,
First Touch Date,تاريخ أول تواصل,
"First-touch, last-touch, linear, and custom attribution to prove campaign ROI",إسناد اللمسة الأولى والأخيرة والخطي والمخصص لإثبات عائد الحملة,
"First-touch, last-touch, linear, and time-decay models to accurately credit campaigns",نماذج اللمسة الأولى والأخيرة والخطي والتلاشي الزمني لإسناد الحملات بدقة,
Flag if agent earns more than this many points in a single day,تنبيه إذا حصل الوكيل على أكثر من هذه النقاط في يوم واحد,
Flagged as Suspicious,تم التأشير كمشبوه,
Follow Up,متابعة,
Followers Count,عدد المتابعين,
For Customer Service,لخدمة العملاء,
For General Managers,للمديرين العامين,
For Marketing Teams,لفرق التسويق,
For Sales Managers,لمديري المبيعات,
For pulling Google Business reviews,لسحب تقييمات جوجل للأعمال,
Forecast Accuracy,دقة التوقعات,
Frappe Cloud,Frappe Cloud,
"Frappe filter format: [[doctype, field, operator, value], ...]",صيغة فلتر Frappe: [[نوع المستند، الحقل، المعامل، القيمة]، ...],
Freddy AI,Freddy AI,
Free,مجاني,
Free Features,الميزات المجانية,
